server_subject	java
client_subject	rust
alpn	pipestream/2
application	copy/v2
input_len	8388608
flow_receive_stream_bytes	65536 (subject default; neither CLI exposes a window flag)
control_op	next-sequence (second connection, journal-free)
control_latency_ms	126
control_overlapped_inflight_admit	true
control_sequence	2
terminal_state	5
manifest_objects	1
output_len	8388608
java_jar_sha256	61ab64a312908dad40f458bf32ce8d8dadcb8a13a0aea489e44dd87e918a458a
