rung	kind	payload_bytes	admissions	resident_works	start_ms	tail_from_ms	end_ms	ticks	pids_min	pids_max	rss_median_kib	rss_p90_kib	rss_max_kib	hwm_max_kib	threads_median	threads_max	fd_median	fd_p90	heap_ticks	heap_min_kib	heap_max_kib	heap_gap_ticks
baseline-idle	baseline	0	0	0	11	9011	15011	60	1	1	231268	236332	249964	368280	33	34	19	19	6	38097	52433	0
payload-65536	payload	65536	4	4	15102	22063	28063	60	1	1	343692	351380	356648	480108	44	45	20	20	6	32363	150116	0
payload-1048576	payload	1048576	4	8	28064	34946	40946	60	1	1	347244	351284	351352	480108	45	45	20	20	6	12075	132907	0
payload-16777216	payload	16777216	4	12	40954	49068	55068	60	1	1	372648	372716	372720	619868	45	45	20	20	6	49775	150507	0
inventory-1	inventory	65536	1	13	55092	61410	67410	60	1	1	323204	369456	369456	619868	44	44	20	20	6	9130	114606	0
inventory-16	inventory	65536	15	28	67410	77068	83068	60	1	1	340334	370824	370824	619868	44	44	20	21	6	29685	139267	0
inventory-64	inventory	65536	48	76	83068	101240	107240	60	1	1	334274	343144	343372	619868	44	44	22	23	6	40979	149523	0
