server_subject	java
client_subject	rust
alpn	pipestream/2
settled	0:0:1 over 1:0:1 + 1:0:2
checkpoint_wrong_seal	authority: authority refusal INTEGRITY_ERROR: checkpoint membership seal differs
complete_child_only_coverage	refused before any completion claim (client journal layer): exit=exit status: 1
session_open_after_refusals	true
complete	COMPLETED equals the saved root coverage
complete_second	replayed the durable completion identical to the first COMPLETED — no second claim
java_jar_sha256	d658fe9e6fe923dad4c98198e6fe94e1dc92fb9aef4f084661cc8be4340cdfb6
