lock acquired at 2026-09-11T05:12:13Z
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.679 s -- in ai.pipestream.quic.v2.V2CommitmentResourceTest
[INFO] Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.390 s -- in ai.pipestream.quic.v2.V2CommitmentsTest
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.181 s -- in ai.pipestream.quic.v2.V2CoreClientTest
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.299 s -- in ai.pipestream.quic.v2.V2CoreServerTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 22.62 s -- in ai.pipestream.quic.v2.V2MainProcessTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in ai.pipestream.quic.v2.V2MainStorageFundingTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.076 s -- in ai.pipestream.quic.v2.V2ObjectResourceTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.348 s -- in ai.pipestream.quic.v2.V2TlsTest
[INFO] Tests run: 77, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.015 s -- in ai.pipestream.quic.v2.V2WireTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.662 s -- in ai.pipestream.quic.SealedCheckpointStoreTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 11.57 s -- in ai.pipestream.quic.SealedCompletionReservationsTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.830 s -- in ai.pipestream.quic.SealedExecutorTest
[INFO] Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.570 s -- in ai.pipestream.quic.SealedPayloadStoreTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in ai.pipestream.quic.SealedScopeTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.054 s -- in ai.pipestream.quic.SealedStateImagesTest
[INFO] Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.428 s -- in ai.pipestream.quic.SealedStoreBindingTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in ai.pipestream.quic.TlsPeerIdentityTest
[INFO] Tests run: 728, Failures: 0, Errors: 0, Skipped: 0
[INFO] BUILD SUCCESS
RUN_EXIT=0 at 2026-09-11T05:18:22Z
