subject_exit_code	86
next_sequence_after_restart	1
replay_binding	generation 1
next_sequence_after_replay	2
client_control_deadline	--control-timeout-ms 10000 on every op of this direction: the killed authority is noticed well inside the driver's 30 s op bound (observation O-2)
driver_op_budget	90 s per client op (kill row): a killed authority is noticed at the negotiated transport bound - the Rust server's max_idle_timeout of 60 s (quinn/src/v2_authority/server.rs:225) against the Java client's idle max(handshake 10 s, control deadline, stream lifetime 300 s) (DurableClient.java:203-207), surfacing CONTROL_RESET 'connection ended before drain' at ~61 s (DurableClient.java:271-278), and the Rust client's response_timeout of 60 s (quinn/src/v2_client/transport.rs:127, swept at :538), refusing LIMIT_EXCEEDED 'client response deadline' at ~60 s - so the default 30 s op wait cannot observe the named refusal
