server_subject	java
client_subject	rust
reconnect_leg	BINDING ok, view identical
manifest_reread_leg	MANIFEST ok, view identical
admission_replay_leg	identical RECEIPT, view identical
retry_leg	skipped with note: work is terminal-success, not retryable
deadline_fields_after_all_legs	deadline/terminal_at/receipt_until/output_until unchanged
java_jar_sha256	9b23a14c36e3f33bc9fae1b12d0835441ba6d52aba14393ed4ae3f7e309e08c9
